word	valence	arousal	dominance	goodness	energy	structure	power	danger	structure
absence	-0.347020	-0.264966	-0.234155	-0.372871	-0.290191	-0.149048	-0.468855	0.058464	-0.149048
absent	-0.323020	-0.278966	-0.384155	-0.422262	-0.386884	-0.041890	-0.572153	0.025016	-0.041890
absentee	-0.265020	-0.169966	-0.221155	-0.309977	-0.217844	-0.067022	-0.373226	0.065148	-0.067022
absenteeism	-0.096020	-0.226966	-0.143155	-0.117953	-0.249544	-0.071005	-0.259860	-0.093049	-0.071005
absinthe	-0.019020	0.010034	-0.038155	-0.036294	-0.009372	0.022654	-0.032290	0.019037	0.022654
absolute	0.025980	0.010034	0.326845	0.178284	0.181317	-0.207225	0.254276	0.002144	-0.207225
absolution	0.214980	0.000034	0.163845	0.264545	0.054558	-0.010042	0.225640	-0.148483	-0.010042
absolve	0.183980	-0.050966	0.159845	0.243461	0.015257	-0.049903	0.182941	-0.161365	-0.049903
absorb	-0.031020	0.058034	0.169845	0.046306	0.144901	-0.100185	0.135203	0.069717	-0.100185
absorbed	-0.010020	-0.028966	0.018845	0.004743	-0.012084	-0.033556	-0.005191	-0.011899	-0.033556
absorbent	0.051980	-0.105966	0.217845	0.165589	0.022376	-0.182938	0.132912	-0.101267	-0.182938
absorbing	-0.010020	-0.009966	0.077845	0.030309	0.035576	-0.063838	0.046587	0.003724	-0.063838
absorption	0.108980	-0.077966	-0.054155	0.079697	-0.111065	0.046915	-0.022181	-0.134889	0.046915
abstain	-0.115020	-0.114966	-0.073155	-0.117390	-0.116162	-0.067264	-0.165146	0.000868	-0.067264
abstention	-0.229020	-0.235966	0.008845	-0.158306	-0.153356	-0.244192	-0.220378	0.003500	-0.244192
abstinence	-0.240020	-0.107966	-0.071155	-0.225433	-0.089365	-0.124592	-0.222596	0.096215	-0.124592
abstract	-0.062020	-0.207966	-0.056155	-0.049543	-0.192129	-0.104315	-0.170888	-0.100824	-0.104315
abstraction	-0.031020	-0.060966	0.024845	-0.005727	-0.031883	-0.065169	-0.026594	-0.018495	-0.065169
absurd	-0.312020	0.156034	-0.216155	-0.396846	0.061326	0.084728	-0.237249	0.323976	0.084728
absurdity	-0.385020	0.028034	-0.273155	-0.468220	-0.063535	0.019326	-0.376008	0.286155	0.019326
abundance	0.311980	0.190034	0.351845	0.410453	0.297757	0.010398	0.500780	-0.079688	0.010398
abundant	0.457980	0.090034	0.259845	0.507195	0.142093	0.089072	0.459116	-0.258166	0.089072
abuse	-0.429020	0.373034	-0.031155	-0.441243	0.359309	0.019630	-0.057936	0.566076	0.019630
abused	-0.479020	0.374034	-0.265155	-0.597224	0.241258	0.157437	-0.251706	0.592897	0.157437
abusive	-0.375020	0.403034	0.066845	-0.351906	0.428572	-0.005699	0.054211	0.551882	-0.005699
abutment	-0.000020	-0.234966	0.115845	0.090839	-0.131053	-0.207852	-0.028436	-0.156901	-0.207852
aby	-0.115020	-0.047966	-0.132155	-0.155798	-0.092868	0.009887	-0.175834	0.044498	0.009887
abysmal	-0.250020	0.210034	0.097845	-0.200201	0.266207	-0.072467	0.046673	0.329800	-0.072467
abyss	-0.147020	0.225034	-0.204155	-0.258865	0.098440	0.192959	-0.113438	0.252653	0.192959
academic	0.280980	-0.079966	0.311845	0.404742	0.058258	-0.124020	0.327391	-0.245002	-0.124020
academy	0.203980	-0.026966	0.291845	0.320696	0.103425	-0.118177	0.299899	-0.153634	-0.118177
accede	0.197980	0.010034	0.036845	0.187231	-0.003327	0.074751	0.130040	-0.134745	0.074751
accelerant	0.142980	0.344034	0.301845	0.217423	0.424665	0.047960	0.454024	0.146542	0.047960
accelerate	0.114980	0.402034	0.258845	0.163878	0.453673	0.095798	0.436674	0.204916	0.095798
accelerated	0.109980	0.312034	0.181845	0.135931	0.338475	0.097393	0.335456	0.143220	0.097393
