date,value
2011-09-12,5.9503136
2011-09-13,5.9631557
2011-09-14,5.9758444
2011-09-15,5.9764185
2011-09-16,6.00829
2011-09-17,5.990255
2011-09-18,5.9669027
2011-09-19,5.958456
2011-09-20,5.963798
2011-09-21,5.9265
2011-09-22,5.9639335
2011-09-23,5.9949617
2011-09-24,5.987699
2011-09-25,5.9560313
2011-09-26,5.95573
2011-09-27,5.9725423
2011-09-28,5.9644094
2011-09-29,5.9748964
2011-09-30,6.0009093
2011-10-01,6.00021
2011-10-02,5.973015
2011-10-03,5.95779
2011-10-04,5.9704123
2011-10-05,5.9737916
2011-10-06,5.979327
2011-10-07,6.0061793
2011-10-08,5.9839306
2011-10-09,5.97813
2011-10-10,5.9672327
2011-10-11,5.9374022
2011-10-12,5.9591236
2011-10-13,5.969535
2011-10-14,6.011045
2011-10-15,6.003675
2011-10-16,5.9756613
2011-10-17,5.969004
2011-10-18,5.9762497
2011-10-19,5.9741087
2011-10-20,5.9612274
2011-10-21,5.9967785
2011-10-22,5.992215
2011-10-23,5.9681587
2011-10-24,5.972373
2011-10-25,5.9732175
2011-10-26,5.9694233
2011-10-27,5.9786444
2011-10-28,6.0065465
2011-10-29,5.9917636
2011-10-30,5.97212
2011-10-31,5.996537
2011-11-01,5.9761033
2011-11-02,5.9826517
2011-11-03,5.9763746
2011-11-04,6.0075765
2011-11-05,6.004667
2011-11-06,5.9837914
2011-11-07,5.956694
2011-11-08,5.967445
2011-11-09,5.965021
2011-11-10,5.9818044
2011-11-11,6.0261383
2011-11-12,5.997327
2011-11-13,5.973577
2011-11-14,5.9600544
2011-11-15,5.968075
2011-11-16,5.9635735
2011-11-17,5.972985
2011-11-18,6.0002174
2011-11-19,5.997182
2011-11-20,5.9814243
2011-11-21,5.9766827
2011-11-22,5.980291
2011-11-23,6.0105414
2011-11-24,6.13436
2011-11-25,6.0147367
2011-11-26,5.9894805
2011-11-27,5.9614744
2011-11-28,5.960245
2011-11-29,5.968487
2011-11-30,5.9809895
2011-12-01,5.988501
2011-12-02,6.00866
2011-12-03,6.001625
2011-12-04,5.9812284
2011-12-05,5.97223
2011-12-06,5.9720545
2011-12-07,5.975458
2011-12-08,5.9784327
2011-12-09,6.0120006
2011-12-10,6.0205765
2011-12-11,5.9921274
2011-12-12,5.980277
2011-12-13,5.9886856
2011-12-14,5.9871354
2011-12-15,5.989415
2011-12-16,6.0110054
2011-12-17,6.009747
2011-12-18,5.989229
2011-12-19,5.988623
2011-12-20,5.9901314
2011-12-21,6.00889
2011-12-22,6.0097547
2011-12-23,6.0379076
2011-12-24,6.175503
2011-12-25,6.235883
2011-12-26,6.023314
2011-12-27,5.9784336
2011-12-28,5.9767237
2011-12-29,5.973948
2011-12-30,5.998722
2011-12-31,6.1133995
