date,value
2013-01-01,6.012324
2013-01-02,5.941974
2013-01-03,5.9445887
2013-01-04,5.9634347
2013-01-05,5.9627376
2013-01-06,5.9364285
2013-01-07,5.938719
2013-01-08,5.944738
2013-01-09,5.9722643
2013-01-10,5.94216
2013-01-11,5.980958
2013-01-12,5.9843745
2013-01-13,5.9610777
2013-01-14,5.9411354
2013-01-15,5.9399443
2013-01-16,5.939851
2013-01-17,5.948039
2013-01-18,5.9745526
2013-01-19,5.9816465
2013-01-20,5.94595
2013-01-21,5.944618
2013-01-22,5.934595
2013-01-23,5.939641
2013-01-24,5.9514813
2013-01-25,5.976801
2013-01-26,5.9817734
2013-01-27,5.9547687
2013-01-28,5.944809
2013-01-29,5.95086
2013-01-30,5.945654
2013-01-31,5.9592204
2013-02-01,6.000538
2013-02-02,5.991002
2013-02-03,5.9812775
2013-02-04,5.9520316
2013-02-05,5.9556236
2013-02-06,5.96487
2013-02-07,5.9602346
2013-02-08,5.982351
2013-02-09,5.9938807
2013-02-10,5.9861097
2013-02-11,5.9609814
2013-02-12,5.958481
2013-02-13,6.0088005
2013-02-14,6.1200266
2013-02-15,6.0131073
2013-02-16,5.9880853
2013-02-17,5.970539
2013-02-18,5.9541707
2013-02-19,5.9482484
2013-02-20,5.960129
2013-02-21,5.9573154
2013-02-22,5.983131
2013-02-23,5.989446
2013-02-24,5.971671
2013-02-25,5.9503765
2013-02-26,5.946783
2013-02-27,5.9498663
2013-02-28,5.973791
2013-03-01,6.013426
2013-03-02,5.9967394
2013-03-03,5.95997
2013-03-04,5.9540367
2013-03-05,5.9439034
2013-03-06,5.951748
2013-03-07,5.960076
2013-03-08,5.997794
2013-03-09,5.9968557
2013-03-10,5.9834623
2013-03-11,5.9541116
2013-03-12,5.953043
2013-03-13,5.962311
2013-03-14,5.9704123
2013-03-15,5.9858055
2013-03-16,5.9891357
2013-03-17,5.979519
2013-03-18,5.9490533
2013-03-19,5.945308
2013-03-20,5.961472
2013-03-21,5.9691873
2013-03-22,5.9927087
2013-03-23,5.9901614
2013-03-24,5.9639916
2013-03-25,5.959716
2013-03-26,5.9648867
2013-03-27,5.962887
2013-03-28,5.990377
2013-03-29,5.997191
2013-03-30,5.9984636
2013-03-31,6.0031624
2013-04-01,5.9522543
2013-04-02,5.9577312
2013-04-03,5.9381313
2013-04-04,5.9546046
2013-04-05,5.9790454
2013-04-06,5.9919724
2013-04-07,5.9691095
2013-04-08,5.9519854
2013-04-09,5.953723
2013-04-10,5.9608583
2013-04-11,5.9592466
2013-04-12,5.9893804
2013-04-13,5.986738
2013-04-14,5.969615
2013-04-15,5.881438
2013-04-16,5.937361
2013-04-17,5.946839
2013-04-18,5.960158
2013-04-19,5.9261894
2013-04-20,5.9962487
2013-04-21,5.974033
2013-04-22,5.963315
2013-04-23,5.9579153
2013-04-24,5.962689
2013-04-25,5.975133
2013-04-26,5.997075
2013-04-27,6.0033755
2013-04-28,5.971454
2013-04-29,5.958382
2013-04-30,5.9689746
2013-05-01,5.9824986
2013-05-02,5.9778805
2013-05-03,6.0017133
2013-05-04,6.0006905
2013-05-05,5.97911
2013-05-06,5.962703
2013-05-07,5.9597497
2013-05-08,5.9647593
2013-05-09,5.9734335
2013-05-10,6.006221
2013-05-11,6.0170135
