date,value
2012-09-13,5.9869256
2012-09-14,5.996896
2012-09-15,5.9982753
2012-09-16,5.9684935
2012-09-17,5.956718
2012-09-18,5.9612947
2012-09-19,5.9743843
2012-09-20,5.98338
2012-09-21,6.0109677
2012-09-22,5.999614
2012-09-23,5.9659524
2012-09-24,5.9516015
2012-09-25,5.958448
2012-09-26,5.9692817
2012-09-27,5.969423
2012-09-28,6.0051665
2012-09-29,6.0023994
2012-09-30,5.9650416
2012-10-01,5.962062
2012-10-02,5.9539638
2012-10-03,5.934434
2012-10-04,5.968698
2012-10-05,5.999739
2012-10-06,6.000032
2012-10-07,5.9798512
2012-10-08,5.9650292
2012-10-09,5.9524436
2012-10-10,5.957697
2012-10-11,5.9593096
2012-10-12,5.990228
2012-10-13,5.9853926
2012-10-14,5.955598
2012-10-15,5.9470253
2012-10-16,5.921913
2012-10-17,5.96058
2012-10-18,5.974038
2012-10-19,5.990161
2012-10-20,6.0022416
2012-10-21,5.9647255
2012-10-22,5.941033
2012-10-23,5.9572763
2012-10-24,5.962731
2012-10-25,5.9713116
2012-10-26,5.9908047
2012-10-27,5.97892
2012-10-28,5.9343724
2012-10-29,5.921165
2012-10-30,5.944706
2012-10-31,5.9959407
2012-11-01,5.9664006
2012-11-02,5.9888144
2012-11-03,5.9852247
2012-11-04,5.950478
2012-11-05,5.95261
2012-11-06,5.9248614
2012-11-07,5.962644
2012-11-08,5.97377
2012-11-09,5.9987454
2012-11-10,5.990433
2012-11-11,5.9698124
2012-11-12,5.9652133
2012-11-13,5.9662485
2012-11-14,5.9701385
2012-11-15,5.9631214
2012-11-16,5.9878764
2012-11-17,5.9910893
2012-11-18,5.9696603
2012-11-19,5.961049
2012-11-20,5.97356
2012-11-21,5.9798746
2012-11-22,6.1222253
2012-11-23,6.006442
2012-11-24,5.986187
2012-11-25,5.9611773
2012-11-26,5.960816
2012-11-27,5.9643173
2012-11-28,5.9670043
2012-11-29,5.972429
2012-11-30,6.0213065
2012-12-01,6.0142136
2012-12-02,5.96508
2012-12-03,5.960369
2012-12-04,5.972633
2012-12-05,5.97278
2012-12-06,5.976806
2012-12-07,5.997738
2012-12-08,6.0003266
2012-12-09,5.97326
2012-12-10,5.9613
2012-12-11,5.9666843
2012-12-12,5.9726233
2012-12-13,5.9842753
2012-12-14,5.891366
2012-12-15,5.9745092
2012-12-16,5.9545846
2012-12-17,5.9525285
2012-12-18,5.9691644
2012-12-19,5.967535
2012-12-20,5.96609
2012-12-21,5.9984956
2012-12-22,6.0023403
2012-12-23,6.018941
2012-12-24,6.1676936
2012-12-25,6.2248096
2012-12-26,5.9892044
2012-12-27,5.9636917
2012-12-28,5.9643126
2012-12-29,5.9544654
2012-12-30,5.95852
2012-12-31,6.1046686
