1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 8 10 18 5 8 8 14 5 11 -9999 5 5 16 15 15 18 12 5 12 12 6 8 11 5 -9999 5 11 7 4 4 23 18 6 5 14 8 14 14 5 16 9 10 5 9 9 8 12 6 15 5 5 11 6 7 -9999 8 12 11 7 10 5 16 8 7 15 12 5 8 12 6 8 7 9 17 5 5 17 14 23 6 9 8 7 9 7 13 12 11 4 11 5 10 8 9 6 6 9 10 11 9 4 10 7 10 12 7 12 6 -9999 5 7 10 12 19 14 5
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 7 10 6 10 8 6 4 7 5 11 30 3 5 5 5 7 10 6 5 8 8 -9999 9 6 4 -9999 6 7 17 6 5 18 12 8 20 6 6 29 5 11 17 8 17 6 7 15 5 8 4 17 13 10 11 28 4 7 36 7 5 10 10 15 11 9 9 19 9 8 14 7 10 5 10 -9999 11 5 4 6 8 6 6 13 10 5 10 12 13 11 6 11 12 9 22 6 11 8 12 15 -9999 5 10 16 -9999 -9999
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 16 7 5 6 13 10 7 7 12 12 12 29 12 28 5 11 29 5 7 13 11 9 11 14 19 12 16 6 7 7 10 5 11 12 7 10 5 10 6 7 8 17 6 6 7 -9999 6 8 19 8 10 8 11 13 11 20 7 6 7 13 9 14 12 6
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 4 26 11 10 13 6 8 8 7 5 6 15 16 5 8 8 -9999 12 6 8 30 10 -9999 -9999 -9999 -9999 4 9 15 4 7 -9999 9 8 14 14 10 5 9 5 12 6 10 13 6 5 14 21 8 10 8 6 7 7 12 11 6 10 5 12 -9999 -9999 6 8 23 9 6 15 25 5 7 19 6 6 20 11 6 15 7 9 4 11 7 21 7 7 5 9 7 6 8 4 24 9 6 7 9 12 6 7 12 8 13 4 17 10 9 6 6 7 6 18 5 7 7 9 13 22 11
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 19 4 6 16 7 12 22 9 14 18 6 6 6 9 6 6 -9999 6 13 8 9 4 5 13 11 7 29 -9999 13 7 18 13 5 8 4 11 15 18 -9999 6 4 5 -9999 12 21 6 12 -9999 11 13 10 13 6 4 5 24 10 6 10 6 17 17 16 7 10 22 8 25 7 12 11 10 6 6 7 4 8 12 14 8 11 6 8 6 14 10 7 6 8 17 5 9 13 12 9 10 12 15 10 5 6 6 5 11 12 9 7 9 17 8 12 24 13 6 9 15 8 24 14 6
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 4 7 6 13 5 5 6 5 4 17 7 6 9 5 6 4 7 5 8 8 9 9 24 10 5 8 9 11 3 8 15 24 25 12 6 8 8 5 7 6 7 7 12 5 6 9 14 6 8 7 5 8 7 4 5 10 11 7 9 13 4 11 9 6 6 10 6 9 7 7 10 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 12 8 5
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 6 9 6 4 11 6 5 5 7 12 6 8 4 9 5 7 6 5 14 5 6 13 7 9 6 12 -9999 4 -9999 5 5 23 7 6 8 6 7 5 22 5 13 7 14 9 12 24 6 6 8 7 3 13 -9999 11 29 -9999 -9999 4 15 9 7 8 7 9 10 5 12 7 15 6 12 9 6 8 12 5 6 7 8 11 8 13 5 12 12 10 12 12 5 6 14 13 15 5 22 8 6 5 14 5 10 5 6 -9999 -9999 -9999 -9999 -9999 18 20 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 6 22 7 11 13 6 6 19 7 27 4 9 15 8 8 5 9 12 6 6 7 19 20 5 -9999 9 -9999 9 6 10 6 19 11 9 7 6 9 21 8 5 9 9
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 11 6 3 6 6 -9999 -9999 8 7 -9999 -9999 -9999 -9999 6 5 11 7 5 9 7 12 6 12 10 5 26 7 5 5 7 7 6 14 10 8 12 10 13 7 10 9 7 12 8 9 6 17 7 6 6 18 7 8 5 7 5 7 4 11 11 5 13 8 15 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 10 -9999 -9999 6 7 8 4 -9999 6 5 9 7 10 5 5 5 12 5 10 9 15 5 6 6 10 10 5 5 7 5 8 8 7 5 13 14 5 8 12 5 12 5 20 14 14 5 10 8 6 15 6 5 7 9 6 11 8 6 4 10 4 9 5 13 4 8 11 8 7 6 17 12 4 5 8 8 10 4 8 9 11 8 7 12 5 12 7 8 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
